DOCUMENT_ID|ROW_SEQ_NO|PRIORSALEDATE|PRIORSALEPRICE|SALEDATAEFFDT|SALEPRICE|SALEPRICEPERGBA|GROSSMONTHLYRENT|GROSSRENTMULTIPLIER|SALEPRICEPERUNIT|SALEPRICEPERROOM|SALEPRICEPERBDRM|SALECONCESSIONSADJ|FINANCINGCONCESSIONSADJ|DATETIMEOFSALE|DATETIMEOFSALEADJ|LOCATIONADJ|LEASEHOLDFEESIMPLADJ|SITEADJ|VIEWADJ|DESIGNSTYLEADJ|QUALITYOFCONSTADJ|ACTUALAGE|ACTUALAGEADJ|CONDITIONADJ|GROSSBUILDINGAREA|GROSSBUILDINGAREAADJ|ROOMCOUNTADJ1|UNIT1TOTALRMS|UNIT1BDRMS|UNIT1BATHS|UNIT1ROOMADJ|UNIT2TOTALRMS|UNIT2BDRMS|UNIT2BATHS|UNIT2ROOMADJ|UNIT3TOTALRMS|UNIT3BDRMS|UNIT3BATHS|UNIT3ROOMADJ|UNIT4TOTALRMS|UNIT4BDRMS|UNIT4BATHS|UNIT4ROOMADJ|BASEMENTADJ|FINISHEDRMSBLWGRDADJ|FUNCUTILITYADJ|HEATINGCOOLINGADJ|ENERGYEFFADJ|GARAGECARPORTADJ|PORCHPATIODECKADJ|FORMTEXTLINE1DATAADJ|FORMTEXTLINE2DATAADJ|FORMTEXTLINE3DATAADJ|TOTNETADJ|NETADJPCT|GROSSADJPCT|NETADJDPRC|NETADJDPRICEPERUNIT|NETADJDPRICEPERROOM|NETADJDPRICEPERBDRM
6443216|1|||19-JUN-24|465000|447.55|3000|155|232500|66429|232500|||11-SEP-23|0|||11625|||-23250|134||-23250|1039|51900||3|1|1|0|4|1|1|5000||||||||||||-5000|||0||||17025|3.7|25.8|482025|241013|68861|241013
6443216|2|||19-JUN-24|500000|192.38|3000|166.67|250000|50000|125000|||30-NOV-23|0|||0||||84|||2599|-2700||6|2|2|-10000|4|2|1||||||||||15000|||-5000|||0||||-2700|.5|6.5|497300|248650|49730|124325
6443216|3|||19-JUN-24|545000|215.5|4000|136.25|272500|49545|136250||-10000|26-JUN-23|0|||0||||134|0||2529|||4|1|1||7|3|2|-10000||||||||||||0||-10000|-2500|-2500|||-35000|6.4|6.4|510000|255000|46364|127500
6443216|4|||19-JUN-24|645000|230.36|4500|143.33|322500|71667|129000|||19-DEC-24|0|||-16125|||-32250|30|0|-32250|2800|-9700||4|2|1|-5000|5|3|2|-10000|||||||||15000|||||-10000|2500||||-97825|15.2|20.6|547175|273588|60797|109435
6443260|1|27-SEP-23|60000|24-NOV-06|223000|98.94|2000|111.5|111500|22300|74333||-6000|24-AUG-02||||0||||114|0||2254|||5|1|1|1500|5|2|1|1500|||||||||0|3000|||||-500||||-500|.2|5.6|222500|111250|22250|74167
6443260|2|||24-NOV-06|239000|97.55|1600|149.38|119500|23900|59750|||20-FEB-24||||0||||95|0||2450|||5|2|1||5|2|1||||||||||0|3000||||0|1000||||4000|1.7|1.7|243000|121500|24300|60750
6443260|3|||24-NOV-06|209200|89.63|2290|91.35|104600|19018|29886||-4184|30-OCT-23||||0||||113|0||2334|||5|3|1|-1500|6|4|1|-1500|||||||||0|3000|||||-500||||-4684|2.2|5.1|204516|102258|18592|29217
6443349|1|||28-JUN-24|312000|136.48|2800|111.43|156000|31200|52000||0|24-APR-24|0|||0||||24|0||2286|-17810||5|3|2||5|3|2|||||||||||||||||3000|||-14810|-5|7|297190|148595|29719|49532
6443349|2|||28-JUN-24|280000|144.33|1990|140.7|140000|35000|70000||-1600|05-SEP-23|0|||0||||16|-18000||1940|4680||4|2|1|5000|4|2|1|5000||||||||||||||15500||3000|||13580|5|19|293580|146790|36698|73395
6443349|3|||28-JUN-24|296500|133.5|2000|148.25|148250|32944|59300||-3100|26-JAN-24||||0||||28|0||2221|-13585||4|2|2||5|3|2|||||||||||||||||3000|||-13685|-5|7|282815|141408|31424|56563
6443359|1|||28-JUN-24|775000|536.7|5000|155|387500|96875|193750|||10-JUN-24||||||||66||50000|1444|7000||4|2|1||4|2|1||||||||||||||0||||||57000|7.4|7.4|832000|416000|104000|208000
6443359|2|||28-JUN-24|1285000|503.53|8200|156.71|321250|98846|257000|||08-JAN-24||||-2000||||76|||2552|-26000||4|2|1||3|1|1||3|1|1||3|1|1||||||0||||||-28000|2.2|2.2|1257000|314250|96692|251400
6443359|3|||28-JUN-24|1195000|449.08|8300|143.98|398333|91923|170714|||16-AUG-23||||-20000||||||50000|2661|-29000||5|3|1||4|2|1||4|2|1||||||||||0||||||1000|.1|8.3|1196000|398667|92000|170857
6443359|4|||28-JUN-24|665000|665|3950|168.35|332500|95000|221667|||25-JUN-24||||||||||50000|1000|20000||4|2|1||3|1|1||||||||||||||0||||||70000|10.5|10.5|735000|367500|105000|245000
6443359|5|01-AUG-23|787000|28-JUN-24|1224500|554.57|8900|137.58|408167|102042|204083|||04-MAR-24|||||||||||2208|-16000||4|2|1||4|2|1||4|2|1||||||||||0||||||-16000|1.3|1.3|1208500|402833|100708|201417
6443359|6|01-MAR-23|950000|28-JUN-24|1400000|528.9|8200|170.73|350000|93333|200000||-10000|22-DEC-23||||||||64|||2647|-29000||3|1|1||4|2|1||4|2|1||4|2|1||||||0|0|||||-39000|2.8|2.8|1361000|340250|90733|194429
6443473|1|||28-JUN-24|441000|160.89|3500|126|220500|36750|73500|||||||0||||2|||2741|7975||6|3|2.1||6|3|2.1||||||||||||||||-1000||||6975|1.6|2|447975|223988|37331|74663
6443473|2|||28-JUN-24|442000|156.68|3300|133.94|221000|36833|73667|||||||0||||2|||2821|||6|3|2.1||6|3|2.1||||||||||||||||-1000||||-1000|.2|.2|441000|220500|36750|73500
6443473|3|||28-JUN-24|395000|166.53|3200|123.44|197500|39500|65833|||||||0||||2|||2372|28270||5|3|2|3750|5|3|2|3750||||||||||||||||0|||35770|9.1|9.1|430770|215385|43077|71795
6443473|4|15-SEP-23|40000|28-JUN-24|332500|159.55|2800|118.75|166250|33250|83125|||24-APR-24||||0||||0||-3325|2084|44110||5|2|2|3750|5|2|2|3750|||||||||||||||1500|10000|||59785|18|20|392285|196143|39229|98071
